Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	Phillyrea	Picea	Pinus.D	Pinus.H	Pistacia	Quercus.D	Quercus.E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales.	Gramineae	
0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	147	0	7	10	8	0	3	0	0	27	
0	2	20	0	0	0	5	0	9	1	0	0	0	6	0	8	0	0	196	0	1	7	6	0	2	0	0	22	
0	0	23	0	0	0	0	0	8	0	0	0	0	0	0	6	0	0	200	0	0	31	4	14	2	0	0	50	
0	0	15	0	0	0	0	0	7	0	0	0	0	1	0	2	0	0	161	0	5	15	9	0	3	0	0	27	
0	0	29	0	0	0	2	0	9	1	0	0	0	0	0	7	0	0	184	0	6	16	4	9	4	0	0	31	
0	0	24	0	0	0	2	0	7	1	0	0	2	1	0	5	0	0	190	0	11	29	3	1	2	2	0	35	
0	1	53	0	0	0	4	0	15	5	0	0	0	0	0	11	0	0	139	0	6	4	4	16	7	10	0	82	
0	5	29	0	0	0	0	0	9	1	0	0	0	1	0	6	0	0	152	0	7	19	12	0	2	1	0	36	
0	1	78	0	0	0	2	0	15	3	0	0	0	0	0	16	0	0	80	0	0	23	5	10	1	0	0	72	
0	1	37	0	0	0	4	0	18	2	0	0	1	8	0	9	0	0	149	0	4	48	6	2	0	0	0	55	
0	1	19	0	0	0	1	0	14	1	0	0	0	0	0	8	0	0	150	0	2	24	7	13	5	0	0	51	
1	2	46	0	0	0	0	0	13	2	0	0	0	0	0	7	0	0	109	0	3	29	7	0	4	0	0	60	
0	3	31	0	0	0	2	0	6	3	0	0	0	0	0	11	0	0	100	0	3	1	5	19	2	0	18	106	
0	5	24	0	0	0	10	0	10	2	0	0	6	0	0	15	0	0	79	0	4	1	2	20	4	0	0	142	
0	1	30	0	0	0	4	0	9	1	0	0	0	0	0	12	0	0	83	0	3	1	0	22	2	0	0	128	
0	0	67	0	0	0	1	0	24	1	0	0	0	0	0	8	0	0	117	0	9	10	10	1	5	3	0	81	
0	0	45	0	0	0	3	0	6	1	0	0	0	0	0	13	0	0	87	0	5	0	2	16	1	0	0	122	
1	2	51	0	0	0	1	0	12	1	0	0	0	2	0	9	0	0	162	0	6	1	5	1	4	2	0	94	
0	1	46	0	0	0	4	0	10	3	0	0	0	0	0	11	0	0	58	0	4	0	1	12	5	0	0	119	
0	0	97	0	0	0	5	0	4	1	0	0	1	0	1	11	0	0	29	0	3	0	0	17	4	2	0	156	
0	1	54	0	0	0	3	0	13	5	0	0	0	0	0	14	0	0	100	0	4	1	5	6	8	6	0	96	
0	1	59	0	0	0	1	0	3	4	0	0	0	0	0	6	0	0	30	0	4	0	0	10	5	0	0	141	
0	3	40	0	0	0	2	0	11	3	0	0	0	0	0	24	0	0	71	0	4	2	5	0	5	0	0	101	
0	2	54	0	0	0	1	0	4	6	0	0	0	0	0	5	0	0	23	0	7	0	0	14	4	0	0	114	
0	0	43	0	0	0	4	0	4	2	0	0	0	0	0	16	0	0	63	0	3	0	0	0	1	4	0	97	
0	1	44	0	0	0	0	0	3	3	0	0	0	0	0	16	0	0	23	0	13	0	1	17	8	0	0	158	
0	0	72	0	0	0	0	0	1	5	0	0	0	0	0	15	0	0	20	0	5	0	0	1	4	3	0	117	
0	0	73	0	0	0	0	0	2	12	0	0	0	0	0	17	0	0	4	0	14	0	0	27	8	0	0	134	
0	1	78	0	0	0	0	0	3	3	0	0	0	0	0	12	0	0	24	0	4	0	0	2	5	3	0	128	
0	1	26	0	0	0	1	0	4	12	0	0	0	0	0	9	0	0	13	0	2	0	0	75	20	6	0	145	
0	0	44	0	0	0	0	0	0	23	0	0	0	0	0	8	0	0	18	0	0	1	0	54	22	0	0	116	
0	0	55	0	0	0	1	0	2	7	0	0	0	0	0	17	0	0	23	0	9	0	0	2	7	1	0	154	
0	1	31	0	0	0	0	0	1	20	0	0	0	0	0	19	0	0	8	0	2	0	1	70	20	0	0	121	
0	1	33	0	0	0	0	0	2	25	0	0	0	0	0	13	0	0	11	0	1	0	0	4	21	3	0	100	
0	2	32	1	0	0	1	3	1	43	0	0	2	0	0	13	0	0	13	0	3	0	0	82	27	14	0	119	
0	2	27	0	0	0	0	0	0	35	0	0	0	0	0	15	0	0	10	0	5	0	0	64	18	0	0	104	
0	0	22	0	0	0	0	0	0	32	0	0	0	0	0	15	0	0	7	0	5	0	0	4	22	2	0	92	
0	2	13	0	0	0	0	0	2	37	0	0	0	0	0	16	0	0	12	0	3	0	0	65	15	0	1	121	
0	1	30	0	0	0	0	0	3	49	0	0	0	0	0	13	0	0	8	0	3	0	0	0	16	9	0	103	
0	1	20	0	0	0	0	0	0	41	0	0	0	0	0	16	0	0	7	0	4	0	0	66	24	0	0	110	
2	0	10	0	2	0	0	0	3	85	0	0	1	0	0	23	0	0	13	0	1	1	1	83	24	6	0	128	
0	0	12	0	0	0	0	0	0	33	0	0	0	0	0	20	0	0	9	0	1	0	0	5	39	4	0	123	
0	0	26	0	0	0	0	0	2	35	0	0	0	0	0	15	0	0	10	0	3	0	0	64	18	0	0	106	
0	0	5	0	0	0	0	3	0	64	0	0	0	0	0	11	0	0	6	0	5	0	0	83	31	10	0	129	
0	0	5	0	0	0	0	0	0	67	0	0	0	0	0	14	0	0	5	0	2	0	1	5	25	7	0	92	
0	0	12	0	0	0	0	0	1	66	0	0	0	0	0	16	0	0	3	0	4	0	0	73	25	0	0	92	
0	0	6	0	0	0	0	0	1	76	0	0	0	0	0	5	0	0	2	0	0	0	0	10	37	1	0	59	
0	2	11	0	0	0	1	0	0	22	0	0	2	0	0	16	0	0	3	0	5	0	2	118	44	3	0	132	
0	0	11	0	0	0	0	0	0	70	0	0	0	0	0	10	0	0	2	0	0	0	0	3	17	7	0	70	
0	0	2	0	0	0	0	0	0	46	0	0	0	0	0	12	0	0	2	0	0	0	0	3	31	6	0	74	
